FECHA;PROVINCIA;PROFESIONALES_TOTAL;PORCENTAJE_TEST_REALIZADOS;PORCENTAJE_TEST_POSITIVO;codigo_ine
2024-09-05;Segovia;2801;94.53766512;54.83755801;40004
2024-09-05;Burgos;7034;96.64486779;53.75319875;9059
2024-09-05;Zamora;3366;95.72192513;49.91087344;49275
2024-09-05;Salamanca;7348;90.0653239;53.70168753;37274
2024-09-05;Soria;2208;93.84057971;54.30253623;42173
2024-09-05;Valladolid;11517;94.94660068;58.40062516;47186
2024-09-05;Castilla y León;49709;94.5140719;56.12062202;99999
2024-08-22;Ávila;3020;91.75496689;54.43708609;5019
2024-08-22;Palencia;3261;95.73750383;61.14688746;34120
2024-08-22;Valladolid;11517;94.94660068;58.40062516;47186
2024-08-22;León;9154;96.06729299;58.82674241;24089
2024-08-22;Soria;2208;93.84057971;54.30253623;42173
2024-08-22;Burgos;7034;96.64486779;53.75319875;9059
2024-08-22;Salamanca;7348;90.0653239;53.71529668;37274
2024-08-22;Segovia;2801;94.53766512;54.83755801;40004
2024-08-22;Zamora;3366;95.72192513;49.88116459;49275
2024-08-22;Castilla y León;49709;94.51004848;56.10855177;99999
2024-08-08;Burgos;7034;96.64486779;53.75319875;9059
2024-08-08;Palencia;3261;95.73750383;61.11622202;34120
2024-08-08;Salamanca;7348;90.05171475;53.68807839;37274
2024-08-08;Valladolid;11517;94.94660068;58.39194235;47186
2024-08-08;Zamora;3366;95.72192513;49.88116459;49275
2024-08-08;Castilla y León;49709;94.50602507;56.09648152;99999
2024-08-08;Segovia;2801;94.53766512;54.83755801;40004
2024-08-08;Soria;2208;93.79528986;54.30253623;42173
2024-08-08;Ávila;3020;91.75496689;54.40397351;5019
2024-08-08;León;9154;96.06729299;58.81581822;24089
2024-07-25;Ávila;3020;91.75496689;54.40397351;5019
2024-07-25;Palencia;3261;95.73750383;61.08555658;34120
2024-07-25;Segovia;2801;94.53766512;54.83755801;40004
2024-07-25;Soria;2208;93.79528986;54.30253623;42173
2024-07-25;Valladolid;11517;94.93791786;58.35721108;47186
2024-07-25;Zamora;3366;95.72192513;49.88116459;49275
2024-07-25;Castilla y León;49709;94.50401336;56.08441127;99999
2024-07-25;Burgos;7034;96.64486779;53.75319875;9059
2024-07-25;León;9154;96.06729299;58.81581822;24089
2024-07-25;Salamanca;7348;90.05171475;53.67446924;37274
2024-07-04;Palencia;3261;95.73750383;61.08555658;34120
2024-07-04;Castilla y León;49709;94.50200165;56.05021224;99999
2024-07-04;Ávila;3020;91.75496689;54.37086093;5019
2024-07-04;León;9154;96.0563688;58.73934892;24089
2024-07-04;Salamanca;7348;90.05171475;53.67446924;37274
2024-07-04;Segovia;2801;94.53766512;54.80185648;40004
2024-07-04;Soria;2208;93.79528986;54.25724638;42173
2024-07-04;Zamora;3366;95.72192513;49.79203803;49275
2024-07-04;Burgos;7034;96.64486779;53.73898209;9059
2024-07-04;Valladolid;11517;94.93791786;58.33116263;47186
2024-06-20;Burgos;7034;96.64486779;53.72476543;9059
2024-06-20;Segovia;2801;94.53766512;54.76615494;40004
2024-06-20;Soria;2208;93.79528986;54.21195652;42173
2024-06-20;Castilla y León;49709;94.49998994;55.98382587;99999
2024-06-20;Ávila;3020;91.75496689;54.33774834;5019
2024-06-20;León;9154;96.0563688;58.64103124;24089
2024-06-20;Salamanca;7348;90.03810561;53.64725095;37274
2024-06-20;Zamora;3366;95.72192513;49.67320261;49275
2024-06-20;Palencia;3261;95.73750383;60.99356026;34120
2024-06-20;Valladolid;11517;94.93791786;58.23565165;47186
2024-06-06;Burgos;7034;96.64486779;53.68211544;9059
2024-06-06;León;9154;96.04544461;58.54271357;24089
2024-06-06;Palencia;3261;95.73750383;60.80956762;34120
2024-06-06;Segovia;2801;94.53766512;54.76615494;40004
2024-06-06;Soria;2208;93.79528986;54.16666667;42173
2024-06-06;Zamora;3366;95.72192513;49.58407605;49275
2024-06-06;Ávila;3020;91.75496689;54.33774834;5019
2024-06-06;Salamanca;7348;90.03810561;53.62003266;37274
2024-06-06;Valladolid;11517;94.92923504;58.13145784;47186
2024-06-06;Castilla y León;49709;94.49596653;55.91140437;99999
2024-05-23;León;9154;96.04544461;58.46624426;24089
2024-05-23;Palencia;3261;95.73750383;60.74823674;34120
2024-05-23;Salamanca;7348;90.02449646;53.60642352;37274
2024-05-23;Segovia;2801;94.53766512;54.76615494;40004
2024-05-23;Valladolid;11517;94.92055223;58.07936094;47186
2024-05-23;Zamora;3366;95.66250743;49.49494949;49275
2024-05-23;Castilla y León;49709;94.48791969;55.86312338;99999
2024-05-23;Burgos;7034;96.64486779;53.65368212;9059
2024-05-23;Ávila;3020;91.75496689;54.2384106;5019
2024-05-23;Soria;2208;93.79528986;54.16666667;42173
2024-05-09;León;9154;96.04544461;58.44439589;24089
2024-05-09;Palencia;3261;95.73750383;60.74823674;34120
2024-05-09;Segovia;2801;94.53766512;54.69475187;40004
2024-05-09;Soria;2208;93.79528986;54.16666667;42173
2024-05-09;Zamora;3366;95.66250743;49.49494949;49275
2024-05-09;Burgos;7034;96.64486779;53.65368212;9059
2024-05-09;Salamanca;7348;90.02449646;53.59281437;37274
2024-05-09;Valladolid;11517;94.90318659;58.04462968;47186
2024-05-09;Ávila;3020;91.75496689;54.20529801;5019
2024-05-09;Castilla y León;49709;94.48389628;55.8430063;99999
2024-04-25;Ávila;3020;91.7218543;54.17218543;5019
2024-04-25;Salamanca;7348;90.01088732;53.59281437;37274
2024-04-25;Soria;2208;93.79528986;54.16666667;42173
2024-04-25;León;9154;96.04544461;58.44439589;24089
2024-04-25;Palencia;3261;95.73750383;60.74823674;34120
2024-04-25;Segovia;2801;94.53766512;54.69475187;40004
2024-04-25;Valladolid;11517;94.90318659;58.03594686;47186
2024-04-25;Zamora;3366;95.66250743;49.49494949;49275
2024-04-25;Burgos;7034;96.64486779;53.65368212;9059
2024-04-25;Castilla y León;49709;94.47987286;55.83898288;99999
2024-04-11;Ávila;3020;91.7218543;54.17218543;5019
2024-04-11;Salamanca;7348;90.01088732;53.59281437;37274
2024-04-11;Segovia;2801;94.53766512;54.69475187;40004
2024-04-11;León;9154;96.04544461;58.44439589;24089
2024-04-11;Palencia;3261;95.73750383;60.74823674;34120
2024-04-11;Soria;2208;93.79528986;54.16666667;42173
2024-04-11;Castilla y León;49709;94.47987286;55.83495946;99999
2024-04-11;Burgos;7034;96.64486779;53.65368212;9059
2024-04-11;Valladolid;11517;94.90318659;58.02726404;47186
2024-04-11;Zamora;3366;95.66250743;49.46524064;49275
2024-03-28;Segovia;2801;94.53766512;54.69475187;40004
2024-03-28;Palencia;3261;95.70683839;60.74823674;34120
2024-03-28;Soria;2208;93.79528986;54.16666667;42173
2024-03-28;Valladolid;11517;94.89450378;58.02726404;47186
2024-03-28;Zamora;3366;95.66250743;49.46524064;49275
2024-03-28;Castilla y León;49709;94.47383774;55.83495946;99999
2024-03-28;Ávila;3020;91.7218543;54.17218543;5019
2024-03-28;Burgos;7034;96.63065112;53.65368212;9059
2024-03-28;León;9154;96.04544461;58.44439589;24089
2024-03-28;Salamanca;7348;90.01088732;53.59281437;37274
2024-03-14;Ávila;3020;91.7218543;54.17218543;5019
2024-03-14;Segovia;2801;94.53766512;54.69475187;40004
2024-03-14;Zamora;3366;95.66250743;49.46524064;49275
2024-03-14;Castilla y León;49709;94.47383774;55.83294776;99999
2024-03-14;León;9154;96.04544461;58.44439589;24089
2024-03-14;Palencia;3261;95.70683839;60.74823674;34120
2024-03-14;Valladolid;11517;94.89450378;58.01858123;47186
2024-03-14;Burgos;7034;96.63065112;53.65368212;9059
2024-03-14;Salamanca;7348;90.01088732;53.59281437;37274
2024-03-14;Soria;2208;93.79528986;54.16666667;42173
2024-02-29;Salamanca;7348;89.99727817;53.60642352;37274
2024-02-29;Soria;2208;93.79528986;54.16666667;42173
2024-02-29;Valladolid;11517;94.89450378;58.00121559;47186
2024-02-29;Zamora;3366;95.66250743;49.46524064;49275
2024-02-29;Ávila;3020;91.7218543;54.13907285;5019
2024-02-29;Burgos;7034;96.63065112;53.65368212;9059
2024-02-29;León;9154;96.04544461;58.44439589;24089
2024-02-29;Castilla y León;49709;94.47182603;55.82892434;99999
2024-02-29;Palencia;3261;95.70683839;60.74823674;34120
2024-02-29;Segovia;2801;94.53766512;54.69475187;40004
2024-02-15;Burgos;7034;96.63065112;53.63946545;9059
2024-02-15;Segovia;2801;94.53766512;54.69475187;40004
2024-02-15;Valladolid;11517;94.89450378;58.00121559;47186
2024-02-15;Zamora;3366;95.66250743;49.46524064;49275
2024-02-15;Castilla y León;49709;94.47182603;55.82691263;99999
2024-02-15;Ávila;3020;91.7218543;54.13907285;5019
2024-02-15;León;9154;96.04544461;58.44439589;24089
2024-02-15;Palencia;3261;95.70683839;60.74823674;34120
2024-02-15;Salamanca;7348;89.99727817;53.60642352;37274
2024-02-15;Soria;2208;93.79528986;54.16666667;42173
2024-02-01;León;9154;96.04544461;58.44439589;24089
2024-02-01;Zamora;3366;95.63279857;49.43553179;49275
2024-02-01;Burgos;7034;96.63065112;53.63946545;9059
2024-02-01;Palencia;3261;95.70683839;60.7175713;34120
2024-02-01;Salamanca;7348;89.98366903;53.60642352;37274
2024-02-01;Valladolid;11517;94.89450378;57.99253278;47186
2024-02-01;Ávila;3020;91.7218543;54.10596026;5019
2024-02-01;Segovia;2801;94.50196358;54.65905034;40004
2024-02-01;Soria;2208;93.79528986;54.16666667;42173
2024-02-01;Castilla y León;49709;94.4657909;55.81685409;99999
2024-01-18;Soria;2208;93.79528986;54.16666667;42173
2024-01-18;Valladolid;11517;94.89450378;57.99253278;47186
2024-01-18;Ávila;3020;91.7218543;54.10596026;5019
2024-01-18;Burgos;7034;96.63065112;53.63946545;9059
2024-01-18;Zamora;3366;95.63279857;49.37611408;49275
2024-01-18;León;9154;96.04544461;58.42254752;24089
2024-01-18;Palencia;3261;95.70683839;60.7175713;34120
2024-01-18;Salamanca;7348;89.98366903;53.60642352;37274
2024-01-18;Segovia;2801;94.50196358;54.65905034;40004
2024-01-18;Castilla y León;49709;94.4657909;55.80880726;99999
2024-01-04;León;9154;96.04544461;58.3570024;24089
2024-01-04;Castilla y León;49709;94.45975578;55.74845601;99999
2024-01-04;Ávila;3020;91.62251656;54.00662252;5019
2024-01-04;Palencia;3261;95.70683839;60.59490954;34120
